iter	Passed	Remaining
1465	424823	8268699
1466	425123	8268606
1467	425382	8267726
1468	425678	8267545
1469	425914	8266215
1470	426213	8266115
1471	426526	8266265
1472	426824	8266143
1473	427126	8266085
1474	427442	8266299
1475	427688	8265172
1476	427987	8265061
1477	428287	8264961
1478	428582	8264768
1479	428845	8263962
1480	429135	8263692
1481	429392	8262760
1482	429684	8262516
1483	429952	8261800
1484	430213	8260966
1485	430510	8260822
1486	430809	8260714
1487	431103	8260500
1488	431404	8260427
1489	431698	8260216
1490	432000	8260161
1491	432292	8259922
1492	432551	8259033
1493	432847	8258868
1494	433153	8258881
